,state,city,lattitude,longitude,distance_from_centroid,state_count,Cluster
1108,Kerala,Thiruvanthapuram,10.00552573,76.3050448,110455.97280051227,93,0
1109,Kerala,Thiruvanthapuram,10.56052307,76.2172408,110456.06055578888,93,0
1110,Kerala,Thiruvanthapuram,11.20838069,75.80848587,110456.46925736994,93,0
1111,Kerala,Thiruvanthapuram,11.86893912,75.40316573,110456.87452702789,93,0
1112,Kerala,Walayar,10.8559461,76.8625309,110455.41524089324,93,0
1113,Kerala,Malappuram,10.73477485,76.04854399,110456.22923787602,93,0
1114,Kerala,Palakkad,10.887677,76.189595,110456.08817417444,93,0
1115,Kerala,Kochi,10.077281,76.337656,110455.94018285607,93,0
1116,Kerala,Kozhikode,11.282287,75.770054,110456.50768339551,93,0
1117,Kerala,Kozhikode,11.217,75.85801,110456.41973255595,93,0
1118,Kerala,Kizhakkummuri,10.245487,76.369589,110455.90823490419,93,0
1119,Kerala,Kochi,10.039145,76.315574,110455.96226828155,93,0
1120,Kerala,Thrissur,10.540817,76.189423,110456.08837527102,93,0
1121,Kerala,Kannur,11.83301,75.42643,110456.85126540209,93,0
1122,Kerala,Kollam,8.87386,76.64112,110455.6368333029,93,0
1123,Kerala,Kasargod,12.51382323,75.02713173,110457.25051555489,93,0
1124,Kerala,Kochi,9.9685,76.312879,110455.964969662,93,0
1125,Kerala,Trivandrum,8.390198,76.976356,110455.30164699479,93,0
1126,Kerala,Thrissur,10.596516,76.04243,110456.23536352473,93,0
1127,Kerala,Kochi,9.9261126,76.317879,110455.95997351204,93,0
1128,Kerala,Kochi,9.9644345,76.3184956,110455.95935343059,93,0
1129,Kerala,Kuttikkanam,9.5802797,76.9701859,110455.3076986344,93,0
1130,Kerala,Kottayam,9.5447482,76.877561,110455.40032688506,93,0
1131,Kerala,Trivandrum,8.5615919,76.8763933,110455.4015918434,93,0
1132,Kerala,Aluva,10.0999671,76.3476841,110455.93015272457,93,0
1133,Gujarat,Gujarat,22.5676,71.7741,110460.50332526768,78,0
1134,Madhya Pradesh,UJJAIN,23.24006,75.78122,110456.49622306951,20,0
1135,Madhya Pradesh,Indore,22.7307225,75.8893731,110456.38805611074,20,0
1136,Madhya Pradesh,Bhopal,23.259006,77.456769,110454.82067463108,20,0
1137,Madhya Pradesh,Bhopal,23.182404,77.432496,110454.84494538353,20,0
1138,Maharashtra,Mumbai,19.1420246,72.937755,110459.33964313591,260,0
1139,Maharashtra,Navi Mumbai,18.9563188,73.1626506,110459.11474910073,260,0
1140,Maharashtra,Mumbai,19.1063175,72.8603219,110459.41707651255,260,0
1141,Maharashtra,Mumbai,19.1142415,72.8518766,110459.42552175016,260,0
1142,Maharashtra,Mumbai,18.9241214,72.8328155,110459.44458450377,260,0
1143,Maharashtra,Pune,18.621902,73.82497,110458.452433306,260,0
1144,Maharashtra,Sajgaon,18.793453,73.297219,110458.98018233005,260,0
1145,Maharashtra,MUMBAI,19.12,72.9141,110459.3632983052,260,0
1146,Maharashtra,MUMBAI,20.2212,72.8812,110459.39619522143,260,0
1147,Gujarat,NAVSARI,20.9446,72.9628,110459.31459917033,78,0
1148,Maharashtra,Kolhapur,16.6869187,74.2703805,110458.00706354398,260,0
1149,Maharashtra,Hyderabad,17.45608,78.44656,110453.8308637926,260,0
1150,Maharashtra,Hyderabad,17.3649,78.55747,110453.7199559137,260,0
1151,Maharashtra,Mumbai,19.11599,72.85018,110459.42721833648,260,0
1152,Maharashtra,Mumbai,19.13052,72.83056,110459.44683822378,260,0
1153,Maharashtra,Mumbai,19.14207,72.83241,110459.44498813557,260,0
1154,Maharashtra,Thane,19.1972,72.96321,110459.31418773116,260,0
1155,Maharashtra,Mumbai,19.095269,72.926195,110459.35120350048,260,0
1156,Uttar Pradesh,Ghaziabad,28.67458,77.42895,110454.8487871657,87,0
1157,Uttar Pradesh,Faridabad,28.41873,77.31114,110454.96657732196,87,0
1158,Delhi NCR,Delhi,28.60585,77.08133,110455.1964017758,53,0
1159,Maharashtra,Pune,18.57391,73.9589,110458.31850390647,260,0
1160,Maharashtra,Pune,18.62343,73.74568,110458.53172328722,260,0
1161,Maharashtra,Pune,18.55368,73.80696,110458.47044416581,260,0
1162,Maharashtra,Mumbai,19.0925655,72.9223514,110459.35504712217,260,0
1163,Maharashtra,Thane,19.277922,72.880256,110459.39714118866,260,0
1164,Maharashtra,Mumbai,18.96555,72.80346,110459.47393961555,260,0
1165,Maharashtra,Mumbai,19.01296,72.82652,110459.45087919035,260,0
1166,Maharashtra,Ghaziabad,28.683213,77.377082,110454.90065584543,260,0
1167,Maharashtra,Hyderabad,17.352657,78.546636,110453.73079020422,260,0
1168,Maharashtra,Pune,18.611143,73.783103,110458.49430043879,260,0
1169,Maharashtra,Chakan,18.77893,73.87099,110458.40641148704,260,0
1170,Maharashtra,Panchgaon,28.323394,76.901196,110455.37651407823,260,0
1171,Maharashtra,Mumbai,19.018857,72.831076,110459.44632313888,260,0
1172,Maharashtra,Nagpur,21.13459,79.004423,110453.27297799327,260,0
1173,Maharashtra,Nashik,19.950077,73.749175,110458.52821996195,260,0
1174,Maharashtra,Mumbai,19.034402,72.85284,110459.42455900472,260,0
1175,Maharashtra,Kolhapur,16.753021,74.279095,110457.9983470931,260,0
1176,Maharashtra,Aurangabad,19.872922,75.318613,110456.95878200977,260,0
1177,Maharashtra,Mumbai,18.9688627,72.8207138,110459.45668578519,260,0
1178,Maharashtra,Pune,18.51873971,73.936184,110458.34122062249,260,0
1179,Maharashtra,Pune,18.51566576,73.94607248,110458.3313321832,260,0
1180,Maharashtra,Mumbai,18.9453551,72.8383287,110459.43907110285,260,0
1181,Maharashtra,Mumbai,19.0472567,72.8783829,110459.39901599544,260,0
1182,Maharashtra,Mumbai,19.0599578,72.8647916,110459.41260718892,260,0
1183,Telangana,Suryapet,17.212796,79.166746,110453.11068361973,82,0
1184,Telangana,Suryapet,17.1525348,79.5699188,110452.707512346,82,0
1185,Maharashtra,Mumbai,19.1157451,72.8682563,110459.40914203839,260,0
1186,Maharashtra,Pune,18.61547,73.84618,110458.43122338527,260,0
1187,Maharashtra,Pune,18.648576,73.798872,110458.47853098127,260,0
1188,Maharashtra,Yelur,16.956461,74.275721,110458.00171533717,260,0
1189,Maharashtra,Karad,17.2737243,74.1802756,110458.09715250864,260,0
1190,Maharashtra,Satara,17.63820763,74.01209174,110458.26532804016,260,0
1191,Maharashtra,Pune,18.589877,73.7383657,110458.53903800435,260,0
1192,Maharashtra,Nagpur,21.155667,79.078708,110453.19869321564,260,0
1193,Maharashtra,Mumbai,19.051601,72.838011,110459.43938785885,260,0
1194,Maharashtra,Delhi,28.578641,77.05962,110455.21810965422,260,0
1195,Maharashtra,Satara,18.11289,73.98985,110458.28756073685,260,0
1196,Uttarakhand,Dehradun,30.289739,77.998788,110454.27908811743,22,0
1197,Uttar Pradesh,Mainpuri,26.968708,79.019513,110453.25810306086,87,0
1198,Maharashtra,Pune,18.5269679,73.8655123,110458.41189221395,260,0
1199,Uttarakhand,Haridwar,29.942456,78.144234,110454.13361024854,22,0
